"2al6B01-i1","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","2al6B01"
"3dyhA00-i2","1.10.600.10","Farnesyl Diphosphate Synthase","3dyhA00"
"3mzfA01-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","3mzfA01"
"2pqcA02-i2","3.65.10.10","","2pqcA02"
"4aidB02-i2","3.30.230.70","GHMP Kinase, N-terminal domain","4aidB02"
"3tp9A02-i2","3.40.250.10","Oxidized Rhodanese, domain 1","3tp9A02"
"2luyA02-i1","3.30.60.210","","2luyA02"
"4nplA00-i2","2.60.120.590","Clavaminate synthase-like domains","4nplA00"
"2gllF00-i2","3.10.129.10","Hotdog Thioesterase ","2gllF00"
"1vx7M00-i1","2.40.150.20","Ribosomal Protein L14;","1vx7M00"
"3udfA01-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","3udfA01"
"1huxA02-i1","3.30.420.40","","1huxA02"
"2p24A01-i1","3.10.320.10","Class II Histocompatibility Antigen, M Beta Chain; Chain B, domain 1","2p24A01"
"5lvaA00-i2","3.40.50.360","","5lvaA00"
"2akaB00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2akaB00"
"4xxuA01-i2","3.40.190.10","Periplasmic binding protein-like II","4xxuA01"
"3cjrB02-i1","1.10.10.2720","","3cjrB02"
"3dnhA02-i2","3.20.180.10","PNP-oxidase like","3dnhA02"
"2qygA01-i2","3.30.70.150","","2qygA01"
"4f7uB00-i2","2.30.30.100","","4f7uB00"
"3tp9A01-i1","3.60.15.10","Metallo-beta-lactamase, chain A","3tp9A01"
"3es1A02-i2","2.60.120.10","Jelly Rolls","3es1A02"
"4b2sA02-i2","2.10.70.10","Complement Module, domain 1","4b2sA02"
"4aidB01-i2","3.30.230.70","GHMP Kinase, N-terminal domain","4aidB01"
"1lnzA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","1lnzA02"
"3ntcL02-i2","2.60.40.10","Immunoglobulins","3ntcL02"
"4npjB01-i2","2.60.40.150","C2- domain Calcium/lipid binding domain","4npjB01"
"1aqzA00-i2","3.10.450.30","Microbial ribonucleases","1aqzA00"
"1emyA00-i2","1.10.490.10","Globins","1emyA00"
"4xxuA02-i1","3.40.190.10","Periplasmic binding protein-like II","4xxuA02"
"2daxA01-i2","3.10.110.10","Ubiquitin Conjugating Enzyme","2daxA01"
"1lnzA01-i1","2.70.210.12","Obg GTP-binding protein N-terminal domain","1lnzA01"
"5albL01-i2","2.60.40.10","Immunoglobulins","5albL01"
"1hslA01-i1","3.40.190.10","Periplasmic binding protein-like II","1hslA01"
"1qr5A00-i1","3.30.1340.10","","1qr5A00"
"4i9yA00-i1","2.40.100.10","Cyclophilin-like","4i9yA00"
"4r1bA01-i1","3.50.4.10","Hepatocyte Growth Factor","4r1bA01"
"3gdcB01-i2","2.60.40.420","Cupredoxins -  blue copper proteins","3gdcB01"
"3lxfA00-i2","3.10.20.30","","3lxfA00"
"5aeaA00-i2","2.60.40.10","Immunoglobulins","5aeaA00"
"3srtA00-i2","2.160.10.10","Hexapeptide repeat proteins","3srtA00"
"3tp9A03-i2","3.40.250.10","Oxidized Rhodanese, domain 1","3tp9A03"
"2pnsA00-i2","3.90.70.10","Cysteine proteinases","2pnsA00"
"5jxaL01-i2","2.60.40.10","Immunoglobulins","5jxaL01"
"4afkA00-i1","2.40.160.100","","4afkA00"
"2gagC02-i1","3.30.70.1520","Heterotetrameric sarcosine oxidase","2gagC02"
"1j3xA00-i1","1.10.30.10","DNA Binding (I), subunit A","1j3xA00"
"4nnqC01-i1","3.90.226.10","2-enoyl-CoA Hydratase; Chain A, domain 1","4nnqC01"
"3ga8A00-i1","1.20.58.720","","3ga8A00"
"2qkiC02-i1","2.40.50.120","","2qkiC02"
"4nc6A01-i1","1.10.10.750","Ypt/Rab-GAP domain of gyp1p ","4nc6A01"
"1h2vZ00-i2","3.30.70.330","","1h2vZ00"
"2vujA00-i1","2.60.120.180","","2vujA00"
"2iyaA02-i1","3.40.50.2000","Glycogen Phosphorylase B;","2iyaA02"
"1v7pB00-i1","3.10.100.10","Mannose-Binding Protein A, subunit A","1v7pB00"
"2dbfA01-i2","1.10.533.10","Death Domain, Fas","2dbfA01"
"3r1kA01-i2","3.40.630.30","","3r1kA01"
"4pirA01-i1","2.70.170.10","","4pirA01"
"2dyjA00-i2","3.30.300.20","","2dyjA00"
"2xgjB04-i1","1.20.1500.20","","2xgjB04"
"1op3H01-i2","2.60.40.10","Immunoglobulins","1op3H01"
"1sfsA00-i2","3.20.20.80","Glycosidases","1sfsA00"
"1yueA03-i1","3.30.2320.40","","1yueA03"
"3tq7P00-i1","2.30.30.190","","3tq7P00"
"3cfzA02-i1","3.40.190.10","Periplasmic binding protein-like II","3cfzA02"
"3vkhB08-i1","1.10.472.130","","3vkhB08"
"2awkA00-i1","2.40.155.10","Green Fluorescent Protein","2awkA00"
"4fd0A02-i2","3.80.10.10","Ribonuclease Inhibitor","4fd0A02"
"4f80A01-i2","2.60.40.10","Immunoglobulins","4f80A01"
"3gblA00-i2","2.60.40.10","Immunoglobulins","3gblA00"
"3r1kA02-i2","3.40.630.30","","3r1kA02"
"2c7fE01-i1","2.60.40.1180","Golgi alpha-mannosidase II","2c7fE01"
"1g1tA01-i1","3.10.100.10","Mannose-Binding Protein A, subunit A","1g1tA01"
"3ncvA02-i1","3.30.1370.100","","3ncvA02"
"4nc6A03-i1","1.10.472.80","","4nc6A03"
"3g2mA02-i2","3.40.50.150","Vaccinia Virus protein VP39","3g2mA02"
"2coeA01-i1","3.40.50.10190","","2coeA01"
"3r1kA03-i2","3.30.1050.10","Nonspecific Lipid-transfer Protein; Chain A","3r1kA03"
"3vejB00-i1","1.10.286.70","","3vejB00"
"3ncvA01-i1","2.30.42.20","","3ncvA01"
"3vkhB07-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3vkhB07"
"2yztA00-i1","3.30.160.250","","2yztA00"
"3pqvA02-i1","3.30.360.20","","3pqvA02"
"1yacA00-i2","3.40.50.850","","1yacA00"
"2knrA00-i1","3.40.1530.20","","2knrA00"
"1uunA01-i1","2.60.40.1650","Porin MspA (Ig-like beta-sandwich domain)","1uunA01"
"3hqnA02-i2","3.20.20.60","Phosphoenolpyruvate-binding domains","3hqnA02"
"4r9oC00-i1","3.20.20.100","NADP-dependent oxidoreductase","4r9oC00"
"1gkaB00-i2","2.40.128.20","","1gkaB00"
"4izoA02-i2","3.30.1490.20","ATP-grasp fold, A domain","4izoA02"
"1rblI00-i1","3.30.190.10","RuBisCO, small subunit","1rblI00"
"1yueA02-i1","2.10.10.40","","1yueA02"
"3t1wA02-i2","2.60.40.10","Immunoglobulins","3t1wA02"
"3qkcA00-i2","1.10.600.10","Farnesyl Diphosphate Synthase","3qkcA00"
"1hl6C00-i2","3.30.70.330","","1hl6C00"
"5hvqC02-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","5hvqC02"
"4jzjC03-i2","2.60.40.10","Immunoglobulins","4jzjC03"
"4ezfB00-i1","3.40.5.90","","4ezfB00"
"2dm9A00-i2","3.30.2320.30","","2dm9A00"
"4zs7H01-i2","2.60.40.10","Immunoglobulins","4zs7H01"
"1xpmA02-i1","3.40.47.10","","1xpmA02"
"2mbfA01-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","2mbfA01"
"1uewA00-i2","2.30.42.10","","1uewA00"
"3vkhB09-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3vkhB09"
"3fesA00-i2","1.10.1780.10","Double Clp-N motif","3fesA00"
"3cfzA01-i2","3.40.190.10","Periplasmic binding protein-like II","3cfzA01"
"1sr4A00-i2","2.80.10.50","","1sr4A00"
"3tviA01-i2","3.40.1160.10","","3tviA01"
"3gkrA02-i1","3.40.630.30","","3gkrA02"
"4j76B01-i2","3.40.50.620","HUPs","4j76B01"
"3hqnA03-i2","2.40.33.10","PK beta-barrel domain-like","3hqnA03"
"4ueyA00-i1","3.30.450.140","","4ueyA00"
"4grxA02-i1","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","4grxA02"
"4jnjA00-i1","2.40.128.30","Avidin/streptavidin","4jnjA00"
"4j76B02-i2","1.10.240.10","Tyrosyl-Transfer RNA Synthetase","4j76B02"
"3kshA00-i1","3.30.450.40","","3kshA00"
"1o66E00-i2","3.20.20.60","Phosphoenolpyruvate-binding domains","1o66E00"
"3gmvX00-i1","2.60.460.20","","3gmvX00"
"2ka6A00-i1","1.20.1020.10","CREB-binding Protein; Chain A","2ka6A00"
"1d3bB00-i2","2.30.30.100","","1d3bB00"
"1i4dA00-i2","1.20.1270.60","Arfaptin, Rac-binding fragment, chain A","1i4dA00"
"1f8yA00-i2","3.40.50.450","","1f8yA00"
"3eo8A00-i2","3.40.109.10","NADH Oxidase","3eo8A00"
"1s9uA00-i2","1.10.3480.10","TorD-like","1s9uA00"
"2r83A01-i2","2.60.40.150","C2- domain Calcium/lipid binding domain","2r83A01"
"3wlaA00-i2","3.40.50.1820","","3wlaA00"
"5kolD00-i1","3.90.950.20","CinA-like","5kolD00"
"2di3A01-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","2di3A01"
"2gagC01-i2","3.30.1360.120","Probable tRNA modification gtpase trme; domain 1","2gagC01"
"3i7aA00-i2","1.10.3210.10","Hypothetical protein af1432","3i7aA00"
"3wiiL01-i2","2.60.40.10","Immunoglobulins","3wiiL01"
"5c90B00-i2","3.90.226.10","2-enoyl-CoA Hydratase; Chain A, domain 1","5c90B00"
"1uunA02-i1","2.10.300.10","Porin MspA ribbon domain","1uunA02"
"1dcuB01-i2","3.30.540.10","Fructose-1,6-Bisphosphatase, subunit A, domain 1","1dcuB01"
"4grxA01-i2","3.90.1150.10","Aspartate Aminotransferase, domain 1","4grxA01"
"5fa2A01-i1","2.170.40.20","HIV Envelope Protein Gp120; Chain G","5fa2A01"
"1fgxA00-i2","3.90.550.10","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A","1fgxA00"
"3vqiC02-i2","1.10.246.190","","3vqiC02"
"2e26A01-i1","2.60.120.260","Galactose-binding domain-like","2e26A01"
"4ivfA02-i2","1.20.1050.10","","4ivfA02"
"2xgjB01-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2xgjB01"
"2iyaA01-i2","3.40.50.2000","Glycogen Phosphorylase B;","2iyaA01"
"4nc6A02-i1","1.10.8.270","putative rabgap domain of human tbc1 domain family member 14 like domains","4nc6A02"
"4gkvA01-i2","3.90.180.10","Medium-chain alcohol dehydrogenases, catalytic domain","4gkvA01"
"1l1lA03-i1","3.90.1390.10","b-12 dependent (class ii) ribonucleotide reductase, chain A, domain 3","1l1lA03"
"2oarE02-i1","1.20.5.220","","2oarE02"
"1c3cA03-i1","1.10.40.30","Fumarase/aspartase (C-terminal domain)","1c3cA03"
"4jjtB00-i1","3.90.226.10","2-enoyl-CoA Hydratase; Chain A, domain 1","4jjtB00"
"1l1lA01-i2","3.20.70.20","","1l1lA01"
"3oiyB01-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3oiyB01"
"4jw3C00-i1","1.25.10.110","","4jw3C00"
"4tr8B01-i1","3.10.150.10","DNA Polymerase III, subunit A, domain 2","4tr8B01"
"4r6uA03-i2","2.60.40.10","Immunoglobulins","4r6uA03"
"3knbA00-i2","2.60.40.10","Immunoglobulins","3knbA00"
"4qd8A00-i1","3.10.129.10","Hotdog Thioesterase ","4qd8A00"
"5fubA01-i2","3.40.50.150","Vaccinia Virus protein VP39","5fubA01"
"2vyoA00-i2","3.20.20.370","Glycoside hydrolase/deacetylase","2vyoA00"
"4k71B01-i1","3.30.500.10","Murine Class I Major Histocompatibility Complex, H2-DB, subunit A, domain 1","4k71B01"
"3vvmA02-i1","1.10.1740.110","","3vvmA02"
"5ibwA00-i2","1.10.238.10","EF-hand","5ibwA00"
"1l1lA02-i1","3.30.1620.10","b-12 dependent (class ii) ribonucleotide reductase, Chain A, Domain 2","1l1lA02"
"2r5jA00-i1","2.60.175.20","Group I dsDNA viruses","2r5jA00"
"3fxqA03-i1","3.40.190.10","Periplasmic binding protein-like II","3fxqA03"
"4n03A01-i2","3.40.50.2300","","4n03A01"
"1fs5A00-i1","3.40.50.1360","","1fs5A00"
"2rfqC03-i2","1.20.140.10","Butyryl-CoA Dehydrogenase, subunit A, domain 3","2rfqC03"
"3vvmA01-i2","3.40.50.1820","","3vvmA01"
"3rv2A01-i1","3.30.300.10","","3rv2A01"
"1fn4B01-i2","2.60.40.10","Immunoglobulins","1fn4B01"
"5bz3A00-i1","1.20.1530.20","","5bz3A00"
"3mxqC00-i2","3.30.450.20","","3mxqC00"
"3grwA01-i2","2.60.40.10","Immunoglobulins","3grwA01"
"4c1bB01-i1","3.40.50.12690","","4c1bB01"
"2o1sD03-i1","3.40.50.920","","2o1sD03"
"4r6uA02-i2","2.60.40.10","Immunoglobulins","4r6uA02"
"2fvgA01-i2","3.40.630.10","Zn peptidases","2fvgA01"
"1lffA00-i1","1.20.90.10","Phospholipase A2","1lffA00"
"1pytA00-i1","3.30.70.340","","1pytA00"
"2zctA01-i2","3.40.30.10","Glutaredoxin","2zctA01"
"3i84B00-i2","2.60.40.10","Immunoglobulins","3i84B00"
"4j8qA02-i1","2.60.40.2370","","4j8qA02"
"1fn4B02-i2","2.60.40.10","Immunoglobulins","1fn4B02"
"2khdA00-i1","3.30.70.860","","2khdA00"
"1c3cA02-i1","1.20.200.10","Fumarase/aspartase (Central domain)","1c3cA02"
"3fv5B00-i2","3.30.565.10","","3fv5B00"
"5anmL01-i2","2.60.40.10","Immunoglobulins","5anmL01"
"4gkvA02-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4gkvA02"
"3m6wA03-i1","2.30.130.60","","3m6wA03"
"4qr8A01-i1","3.40.350.10","Creatinase/prolidase N-terminal domain","4qr8A01"
"3f7mA00-i2","3.40.50.200","","3f7mA00"
"3fw6A01-i2","2.60.40.1180","Golgi alpha-mannosidase II","3fw6A01"
"2l4eA00-i2","1.10.8.10","DNA helicase RuvA subunit, C-terminal domain","2l4eA00"
"2zfiA00-i1","3.40.850.10","Kinesin","2zfiA00"
"2bo9B02-i1","3.10.450.10","","2bo9B02"
"2bk8A00-i2","2.60.40.10","Immunoglobulins","2bk8A00"
"4s21B02-i2","3.30.450.20","","4s21B02"
"2jhnA02-i2","1.10.340.30","Hypothetical protein; domain 2","2jhnA02"
"2bo9B01-i2","3.10.450.10","","2bo9B01"
"4qr8A02-i2","3.90.230.10","Creatinase/methionine aminopeptidase superfamily","4qr8A02"
"2ahnA00-i1","2.60.110.10","Thaumatin","2ahnA00"
"4hctA01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","4hctA01"
"3r4tA01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","3r4tA01"
"3kmhA00-i2","2.60.120.10","Jelly Rolls","3kmhA00"
"1c8bA00-i1","3.40.50.1450","HybD-like","1c8bA00"
"2gl1A00-i2","3.30.30.10","","2gl1A00"
"3tw6D02-i1","3.10.600.10","pyruvate carboxylase f1077a mutant domain","3tw6D02"
"4tr8B02-i2","3.10.150.10","DNA Polymerase III, subunit A, domain 2","4tr8B02"
"4p25D01-i1","2.40.510.10","Positive stranded ssRNA viruses","4p25D01"
"4ambB02-i2","3.40.50.2000","Glycogen Phosphorylase B;","4ambB02"
"4dz4A00-i1","3.40.800.10","","4dz4A00"
"3ogpA00-i2","2.40.70.10","Acid Proteases","3ogpA00"
"4u6pA01-i1","1.10.150.810","","4u6pA01"
"4ne3A00-i2","1.10.20.10","Histone, subunit A","4ne3A00"
"3uf0A00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3uf0A00"
"1w98B02-i2","1.10.472.10","","1w98B02"
"4kt0E00-i1","2.30.30.50","","4kt0E00"
"3grwA02-i2","2.60.40.10","Immunoglobulins","3grwA02"
"4n03A02-i2","3.40.50.2300","","4n03A02"
"3lkdB01-i1","1.20.1260.30","","3lkdB01"
"1x9xA00-i2","1.10.150.50","Transcription Factor, Ets-1","1x9xA00"
"3fv9C01-i2","3.30.390.10","Enolase-like, N-terminal domain","3fv9C01"
"2kpkA00-i1","2.30.42.10","","2kpkA00"
"3jviA00-i2","3.40.50.2300","","3jviA00"
"2hhjB00-i2","3.40.50.1240","Phosphoglycerate mutase-like","2hhjB00"
"2jhnA01-i1","3.30.310.20","DNA-3-methyladenine glycosylase ii","2jhnA01"
"3tjlA00-i1","3.20.20.70","Aldolase class I","3tjlA00"
"4a6rA01-i2","3.90.1150.10","Aspartate Aminotransferase, domain 1","4a6rA01"
"3vdpA03-i1","3.40.1360.10","","3vdpA03"
"5ks9F01-i2","2.60.40.10","Immunoglobulins","5ks9F01"
